Quarter	State	StateName	NumberOfDrugsPrescribed	Latitude	Longitude	MedicaidAmountReimbursed	NumberofPrescriptions	UnitsReimbursed
4	WY	Wyoming	1927	43.0001	-107.5001	9189001.48	109374	6371957.101
3	WY	Wyoming	1961	43.0001	-107.5001	8797703.63	101845	5547366.323
2	WY	Wyoming	2003	43.0001	-107.5001	8985325.9	110496	6170461.706
1	WY	Wyoming	2000	43.0001	-107.5001	9275417.09	115807	6479703.627
4	WV	West Virginia	2469	38.6301	-80.7301	172647194.4	2607384	388362562.5
3	WV	West Virginia	2341	38.6301	-80.7301	103209571.8	1611296	236325796
2	WV	West Virginia	2696	38.6301	-80.7301	164364703	2629789	280853343
1	WV	West Virginia	2689	38.6301	-80.7301	151252393.4	2617294	368781567.7
4	WI	Wisconsin	3625	44.5001	-90.0001	301334656.7	2927200	197179028.8
3	WI	Wisconsin	3632	44.5001	-90.0001	287809101.7	2859540	195948193.7
2	WI	Wisconsin	3624	44.5001	-90.0001	290162425.7	2969295	199959302.3
1	WI	Wisconsin	3688	44.5001	-90.0001	290338431.7	3064805	212415446.7
4	WA	Washington	3491	47.5001	-120.5001	210690686.4	2896340	148349316.8
3	WA	Washington	3636	47.5001	-120.5001	341118262	4931626	251496327
2	WA	Washington	3584	47.5001	-120.5001	272921276.9	3783794	190537125.8
1	WA	Washington	3541	47.5001	-120.5001	284025962.6	3932088	201612597.8
4	VT	Vermont	2532	44.1584	-72.7678	40681098.79	380245	23288903.37
3	VT	Vermont	2522	44.1584	-72.7678	39345614.83	390900	22323912.13
2	VT	Vermont	2555	44.1584	-72.7678	41521140.91	384921	24401734.94
1	VT	Vermont	2539	44.1584	-72.7678	40232944.55	383182	23756486.91
4	VA	Virginia	2462	37.7701	-78.2401	202814460.1	2536844	151645646.2
3	VA	Virginia	2600	37.7701	-78.2401	226647328.6	2721287	197373968.8
2	VA	Virginia	4791	37.7701	-78.2401	232772426.4	2648709	173090685.3
1	VA	Virginia	4605	37.7701	-78.2401	244286894.2	2786517	173923253.5
4	UT	Utah	2770	39.2501	-111.7501	43566988.4	569134	35356742.56
3	UT	Utah	2813	39.2501	-111.7501	49372464.25	607633	37819892.97
2	UT	Utah	2908	39.2501	-111.7501	49417122.85	631732	39456406.29
1	UT	Utah	2876	39.2501	-111.7501	47476720.1	627898	40899871.99
4	TX	Texas	3402	31.2501	-99.2501	856181870.8	9124475	626898587.9
3	TX	Texas	3402	31.2501	-99.2501	804436708.5	8103779	533520388.1
2	TX	Texas	3453	31.2501	-99.2501	832333704.4	8540301	575237831.9
1	TX	Texas	3439	31.2501	-99.2501	879937739.4	9389908	655095526.8
4	TN	Tennessee	1873	35.7501	-86.2501	252728303.4	3425329	193279232.9
3	TN	Tennessee	1910	35.7501	-86.2501	249293283.6	3234505	188129512.2
2	TN	Tennessee	1926	35.7501	-86.2501	253835484.7	3291140	183317872.6
1	TN	Tennessee	1973	35.7501	-86.2501	273075377.3	3586288	201657970.2
4	SD	South Dakota	2538	44.5001	-100.2501	23629695.93	197242	12633342.23
3	SD	South Dakota	2372	44.5001	-100.2501	23638737.34	196551	11439940.47
2	SD	South Dakota	2350	44.5001	-100.2501	26274499.67	213628	12940644.38
1	SD	South Dakota	2367	44.5001	-100.2501	28431852.58	232708	13979943.45
4	SC	South Carolina	2138	34.0001	-81.0001	106353126.9	1368617	82623289.23
3	SC	South Carolina	2203	34.0001	-81.0001	136565065.1	1676111	92356282.73
2	SC	South Carolina	2245	34.0001	-81.0001	125466943	1494964	85988210.13
